EventTitle,URL
Moicano vs The Korean Zombie,https://www.ufc.com/event/ufc-fight-night-june-22-2019
Cejudo vs Moraes,https://www.ufc.com/event/ufc-238
Gustafsson vs Smith,https://www.ufc.com/event/ufc-fight-night-stockholm-2019
Dos Anjos vs Lee,https://www.ufc.com/event/ufc-fight-night-may-18-2019
Namajunas vs Andrade,https://www.ufc.com/event/ufc-237
Iaquinta vs Cowboy,https://www.ufc.com/event/ufc-fight-night-may-04-2019
Jacare vs Hermansson,https://www.ufc.com/event/ufc-fight-night-april-27-2019
Overeem vs Oleinik,https://www.ufc.com/event/ufc-fight-night-april-20-2019
Holloway vs Poirier 2,https://www.ufc.com/event/ufc-236
Barboza vs Gaethje,https://www.ufc.com/event/ufc-fight-night-march-30-2019
Thompson vs Pettis,https://www.ufc.com/event/ufc-fight-night-march-23-2019
Till vs Masvidal,https://www.ufc.com/event/ufc-fight-night-london-2019
Lewis vs Dos Santos,https://www.ufc.com/event/ufc-fight-night-march-9-2019
Jones vs Smith,https://www.ufc.com/event/ufc-235
Blachowicz vs Santos,https://www.ufc.com/event/ufc-fight-night-czech-republic-2019
Ngannou vs Velasquez,https://www.ufc.com/event/ufc-fight-night-phoenix-2019
Adesanya vs Silva,https://www.ufc.com/event/ufc-234
UFC Fight Night: Assuncao vs Moraes 2,https://www.ufc.com/event/ufc-fight-night-brazil-2019
Cejudo vs Dillashaw,https://www.ufc.com/event/ufc-fight-night-brooklyn-jan-19-2019
Jones vs Gustafsson 2,https://www.ufc.com/event/ufc-232
Lee vs Iaquinta 2,https://www.ufc.com/event/ufc-milwaukee-2018
Holloway vs Ortega,https://www.ufc.com/event/ufc-231
Dos Santos vs Tuivasa,https://www.ufc.com/event/ufc-australia-2018
Dos Anjos vs Usman,https://www.ufc.com/event/tuf-28-finale-2018
Blaydes vs Ngannou 2,https://www.ufc.com/event/ufc-china-2018
Magny vs Ponzinibbio,https://www.ufc.com/event/ufc-south-america-2018
The Korean Zombie vs Rodriguez,https://www.ufc.com/event/ufc-denver-2018
Cormier vs Lewis,https://www.ufc.com/event/ufc-230
Volkan vs Smith,https://www.ufc.com/event/ufc-moncton-2018
Khabib vs McGregor,https://www.ufc.com/event/ufc-229
Santos vs Anders,https://www.ufc.com/event/fight-night-sao-paulo-sept-22-2018
Hunt vs Oleinik,https://www.ufc.com/event/fight-night-moscow-sept-15-2018
Woodley vs Till,https://www.ufc.com/event/ufc-228
Gaethje vs Vick,https://www.ufc.com/event/fight-night-lincoln-2018
Dillashaw vs Garbrandt 2,https://www.ufc.com/event/ufc-227
Alvarez vs Poirier 2,https://www.ufc.com/event/fight-night-canada-july-28-2018
Shogun vs Smith,https://www.ufc.com/event/fight-night-hamburg-2018
Dos Santos vs Ivanov,https://www.ufc.com/event/fight-night-boise-2018
Miocic vs Cormier,https://www.ufc.com/event/ufc-226
Tavares vs Adesanya,https://www.ufc.com/event/the-ultimate-fighter-finale-july-6-2018
Cowboy vs Edwards,https://www.ufc.com/event/fight-night-asia-june-2018
 Whittaker vs Romero,https://www.ufc.com/event/ufc-225
Rivera vs Moraes,https://www.ufc.com/event/fight-night-utica-2018
Thompson vs Till,https://www.ufc.com/event/fight-night-liverpool-2018
Maia vs Usman,https://www.ufc.com/event/fight-night-santiago-2018
Nunes vs Pennington,https://www.ufc.com/event/ufc-224
Barboza vs Lee,https://www.ufc.com/event/fight-night-atlantic-city-2018
Poirier vs Gaethje,https://www.ufc.com/event/ufc-fight-night-april-14-2018
Khabib vs Iaquinta,https://www.ufc.com/event/ufc-223
Werdum vs Volkov,https://www.ufc.com/event/ufc-fight-night-london-march-17-2018
Cyborg vs Kunitskaya,https://www.ufc.com/event/ufc-222
Emmett vs Stephens,https://www.ufc.com/event/ufc-fight-night-orlando-february-24-2018
Cowboy vs Medeiros,https://www.ufc.com/event/ufc-fight-night-austin-february-18-2018
Romero vs Rockhold,https://www.ufc.com/event/ufc-221
Machida vs Anders,https://www.ufc.com/event/ufc-fight-night-belem-february-3-2018
